country,iso3,region,year,acute_food_insecurity_m,acute_food_insecurity_pct,ipc_ch_phase5_population_m,child_malnutrition_risk_1_10,conflict_driver_1_10,economic_driver_1_10,climate_driver_1_10,displacement_driver_1_10,access_constraint_1_10,funding_gap_risk_1_10,data_confidence,primary_driver,source_url,source_note,acute_burden_norm,acute_prevalence_norm,phase5_norm,child_malnutrition_norm,conflict_norm,economic_norm,climate_norm,displacement_norm,access_norm,funding_gap_norm,risk_score,priority_level,recommended_intervention,people_in_immediate_need_m
Ethiopia,ETH,Africa,2024,15.8,13,0.0,8,7,8,9,7,6,8,Medium-High,Conflict/climate/economic,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Ethiopia among major food crises in 2024; 2025 data gap noted in September update.,0.4948805460750853,0.08421052631578947,0.0,0.8,0.7,0.8,0.9,0.7,0.6,0.8,51.6,High,Negotiated humanitarian access + emergency food assistance + local partner delivery,2.05
Somalia,SOM,Africa,2025,4.6,25,0.0,9,7,8,9,7,6,8,Medium-High,Climate/conflict/economic,https://www.fightfoodcrises.net/articles/2025-global-report-food-crises-september-update,GRFC Sep Update notes deterioration was projected for Somalia due to rainfall outlook.,0.11262798634812286,0.21052631578947367,0.0,0.9,0.7,0.8,0.9,0.7,0.6,0.8,47.3,Moderate,Negotiated humanitarian access + emergency food assistance + local partner delivery,1.15
Bangladesh,BGD,Asia,2024,23.6,14,0.0,6,3,8,9,5,4,7,Medium-High,Climate/economic shock,https://elpais.com/planeta-futuro/2025-07-28/el-hambre-se-agrava-en-africa-y-en-asia-occidental.html,Public reporting citing GRFC lists Bangladesh among top five by number in 2024.,0.7610921501706485,0.09473684210526316,0.0,0.6,0.3,0.8,0.9,0.5,0.4,0.7,47.0,Moderate,Emergency agricultural support + drought-resilient seeds + water/irrigation support,3.3
Central African Republic,CAF,Africa,2024,2.5,33,0.0,8,8,7,6,7,7,7,Medium-High,Conflict/displacement,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Central African Republic among countries with at least one-third of population in high acute food insecurity.,0.040955631399317405,0.29473684210526313,0.0,0.8,0.8,0.7,0.6,0.7,0.7,0.7,44.4,Moderate,Negotiated humanitarian access + emergency food assistance + local partner delivery,0.82
Mali,MLI,Africa,2025,2.0,9,0.01,8,9,8,7,7,7,8,Medium-High,Conflict/insecurity,https://www.fightfoodcrises.net/articles/2025-global-report-food-crises-september-update,GRFC Sep Update lists Mali among countries/territories with IPC/CH Phase 5 populations.,0.02389078498293515,0.042105263157894736,0.013157894736842105,0.8,0.9,0.8,0.7,0.7,0.7,0.8,43.3,Moderate,Negotiated humanitarian access + emergency food assistance + local partner delivery,0.18
Pakistan,PAK,Asia,2024,11.8,5,0.0,6,4,8,8,5,4,7,Medium,Economic/climate shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief places Pakistan among countries with 9M to 22M people facing high acute food insecurity.,0.3583617747440273,0.0,0.0,0.6,0.4,0.8,0.8,0.5,0.4,0.7,38.2,Moderate,Negotiated humanitarian access + emergency food assistance + local partner delivery,0.59
Lebanon,LBN,Middle East,2024,1.3,23,0.0,6,8,9,4,6,5,7,Medium,Conflict/economic shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Lebanon experienced escalating conflict/insecurity affecting food security.,0.0,0.18947368421052632,0.0,0.6,0.8,0.9,0.4,0.6,0.5,0.7,38.0,Moderate,Negotiated humanitarian access + emergency food assistance + local partner delivery,0.3
Mozambique,MOZ,Africa,2024,3.3,10,0.0,7,7,7,8,5,5,7,Medium,Conflict/climate shock,https://www.theguardian.com/world/2024/oct/31/almost-two-dozen-countries-at-high-risk-of-acute-hunger-un-report-reveals,Hunger Hotspots reporting identified Mozambique among countries where acute food insecurity may worsen.,0.068259385665529,0.05263157894736842,0.0,0.7,0.7,0.7,0.8,0.5,0.5,0.7,37.9,Moderate,Negotiated humanitarian access + emergency food assistance + local partner delivery,0.33
Zambia,ZMB,Africa,2024,6.0,33,0.0,7,2,8,10,3,3,7,Medium-High,Climate/economic shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Zambia among countries with at least one-third of population in high acute food insecurity.,0.16040955631399317,0.29473684210526313,0.0,0.7,0.2,0.8,1.0,0.3,0.3,0.7,37.3,Moderate,Emergency agricultural support + drought-resilient seeds + water/irrigation support,1.98
Kenya,KEN,Africa,2025,2.8,5,0.0,6,3,7,8,4,3,6,Medium,Climate/economic shock,https://www.fightfoodcrises.net/articles/2025-global-report-food-crises-september-update,GRFC Sep Update notes projected deterioration for Kenya due to forecast poor rainfall though rains later improved.,0.05119453924914675,0.0,0.0,0.6,0.3,0.7,0.8,0.4,0.3,0.6,28.8,Watchlist,Emergency agricultural support + drought-resilient seeds + water/irrigation support,0.14
